501  11
1.515 1.52
C	b0	maxLength	maxGain	maxGain[dB]
0.0199	1.51554	122.344	53.8323	603
0.02	1.51554	121.733	53.7888	604
0.019	1.51555	128.138	54.2361	605
0.0191	1.51555	127.467	54.1953	606
0.0192	1.51555	126.804	54.1558	607
0.0193	1.51555	126.147	54.117	608
0.0194	1.51555	125.497	54.0769	609
0.0195	1.51555	124.853	54.0363	610
0.0196	1.51555	124.216	53.9965	611
0.0197	1.51555	123.586	53.9567	612
0.0198	1.51555	122.962	53.9161	613
0.0199	1.51555	122.344	53.8742	614
0.02	1.51555	121.732	53.8305	615
0.019	1.51556	128.138	54.28	616
0.0191	1.51556	127.467	54.2391	617
0.0192	1.51556	126.804	54.1992	618
0.0193	1.51556	126.147	54.1603	619
0.0194	1.51556	125.497	54.1199	620
0.0195	1.51556	124.853	54.0792	621
0.0196	1.51556	124.216	54.0392	622
0.0197	1.51556	123.586	53.9992	623
0.0198	1.51556	122.962	53.9584	624
0.0199	1.51556	122.344	53.9163	625
0.02	1.51556	121.732	53.8724	626
0.019	1.51557	128.138	54.3241	627
0.0191	1.51557	127.467	54.283	628
0.0192	1.51557	126.803	54.243	629
0.0193	1.51557	126.147	54.2037	630
0.0194	1.51557	125.496	54.1632	631
0.0195	1.51557	124.853	54.1223	632
0.0196	1.51557	124.216	54.0821	633
0.0197	1.51557	123.586	54.0418	634
0.0198	1.51557	122.962	54.0009	635
0.0199	1.51557	122.344	53.9586	636
0.02	1.51557	121.732	53.9145	637
0.019	1.51558	128.138	54.3685	638
0.0191	1.51558	127.467	54.3271	639
0.0192	1.51558	126.803	54.2869	640
0.0193	1.51558	126.146	54.2475	641
0.0194	1.51558	125.496	54.2068	642
0.0195	1.51558	124.853	54.1656	643
0.0196	1.51558	124.216	54.1252	644
0.0197	1.51558	123.586	54.0847	645
0.0198	1.51558	122.961	54.0436	646
0.0199	1.51558	122.344	54.0011	647
0.02	1.51558	121.732	53.9568	648
